Generator level	Price	Amount	Duration	Spawns Required	Id	Spawn 1	Chance	Spawn 2	Chance	Spawn 3	Chance	Capacity	Recharge cost	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	1	2	3
1	MergeRune1	5			Egg_Creature1	Creature1	1	Creature2	0	Hard	0	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune1	5	3	40	Egg_Creature1	Creature1	1	Creature2	0	Hard	0	17	1	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune1	7	60	45	Egg_Creature1	Creature1	0.8	Creature2	0.2	Hard	0	19	1	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune1	10	120	95	Egg_Creature1	Creature1	0.8	Creature2	0.2	Hard	0	21	2	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune1	15	7200	100	Egg_Creature1	Creature1	0.8	Creature2	0.2	Hard	0	23	4	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune1	20	7200	120	Egg_Creature1	Creature1	0.8	Creature2	0.2	Hard	0	25	5	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune1	25	14400	120	Egg_Creature1	Creature1	0.79	Creature2	0.21	Hard	0	27	7	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune1	35	14400	120	Egg_Creature1	Creature1	0.81	Creature2	0.19	Hard	0	29	10	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune1	60	28800	120	Egg_Creature1	Creature1	0.8	Creature2	0.2	Hard	0	31	13	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune1	90	28800	120	Egg_Creature1	Creature1	0.82	Creature2	0.18	Hard	0	33	15	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune2	8			Egg_Creature2	Creature3	1	Creature4	0	Hard	0	15	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune2	5	120	40	Egg_Creature2	Creature3	1	Creature4	0	Hard	0	17	3	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune2	7	120	45	Egg_Creature2	Creature3	0.8	Creature4	0.2	Hard	0	19	4	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune2	12	7200	95	Egg_Creature2	Creature3	0.8	Creature4	0.2	Hard	0	21	5	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune2	15	7200	100	Egg_Creature2	Creature3	0.8	Creature4	0.2	Hard	0	23	6	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune2	20	14400	120	Egg_Creature2	Creature3	0.8	Creature4	0.2	Hard	0	25	8	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune2	32	14400	120	Egg_Creature2	Creature3	0.79	Creature4	0.21	Hard	0	27	10	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune2	51	28800	120	Egg_Creature2	Creature3	0.81	Creature4	0.19	Hard	0	29	12	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune2	81	28800	120	Egg_Creature2	Creature3	0.8	Creature4	0.2	Hard	0	31	15	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune2	129	43200	120	Egg_Creature2	Creature3	0.82	Creature4	0.18	Hard	0	33	18	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune1	10			Chicken	Creature5	1	Creature6	0	Hard	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
