QuestId	SubQuestId	Type	Value	Amount	Reward	Reward Amount	Kraken Level
1	1	GetCreature	Creature1_7	1	hard	1	6
	2	GetSpawner	Egg_Creature1_4	1	hard	1	
	3	DoMerge		150	hard	1	
	4	Spend	Matter	10	hard	1	
2	1	WinToad		4	hard	2	10
	2	GetSpawner	Egg_Creature2_4	1	hard	2	
	3	GetCreature	Creature2_6	1	hard	2	
	4	ReachLevel		10	hard	2	
3	1	Spend	Matter	150	hard	5	13
	2	GetSpawner	Chicken_4	1	hard	5	
	3	GetCreature	Creature1_10	1	hard	5	
	4	DoMerge		600	hard	5	
4	1	Spawn		1500	hard	7	18
	2	GetSpawner	Egg_Creature3_5	1	hard	7	
	3	GetCreature	Creature3_11	1	hard	7	
	4	DoTasks		60	hard	7	
5	1	Spend	Matter	600	hard	10	23
	2	GetSpawner	Egg_Creature4_5	1	hard	10	
	3	GetCreature	Creature7_11	1	hard	10	
	4	DoMerge		1250	hard	10	
6	1	Spawn		2500	hard	10	28
	2	GetSpawner	Egg_Creature5_5	1	hard	10	
	3	GetCreature	Creature9_11	1	hard	10	
	4	DoTasks		150	hard	10	
7	1	Spend	Matter	2500	hard	20	33
	2	GetSpawner	Egg_Creature6_5	1	hard	20	
	3	GetCreature	Creature11_11	1	hard	20	
	4	DoMerge		2500	hard	20	
