IDOL	WOOD	STONE	POTION	BOOK	WOOD2 (BOARD)	SOUL CRYSTAL	BONES2 (BONES BLOCK)	WAX	POTION2	MUSHROOM	BOOK2 (MAGIC SCROLLS)	SOUL CRYSTAL2	WAX2 (EVILHONEY)	MUSHROOM2
														
1	2700													
2	270000													
3	10500000	270000												
4	260000000	7560000	290000											
5	7800000000	211680000	8700000	310000										
6	234000000000	5927040000	261000000	9300000										
7		165957120000	7830000000	279000000	330000									
8		4646799360000	234900000000	8370000000	9900000	350000								
9			7047000000000	251100000000	297000000	10500000	370000							
10			211410000000000	7533000000000	8910000000	315000000	11100000	390000						
11				225990000000000	267300000000	9450000000	333000000	11700000	410000					
12				6.7797E+15	8019000000000	283500000000	9990000000	351000000	12300000	430000				
13					240570000000000	8505000000000	299700000000	10530000000	369000000	12900000	450000			
14					7.2171E+15		8991000000000	315900000000	11070000000	387000000	13500000	470000		
15					2.16513E+17		269730000000000		332100000000	11610000000	405000000	14100000	490000	
16					6.49539E+18		8.0919E+15		9963000000000		12150000000	423000000	14700000	510000
17					1.94862E+20		2.42757E+17		298890000000000		364500000000	12690000000	441000000	15300000
18					5.84585E+21		7.28271E+18		8.9667E+15		10935000000000	380700000000	13230000000	459000000
