CH		WOOD															STONE															POTION															BOOK														WOOD2 (Board)																SOUL CRYSTAL															BONES2															WAX														POTION2															MUSHROOM														BOOK2															SOUL CRYSTAL2															WAX2															MUSHROOM2													
		LVL	MULT	Wood	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		Level	Multiplier	Stone	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	Potion	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	Book	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Board	Board	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration			LVL	MULT	SoulCrystal	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	BonesBlock	BonesBlock	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Wax	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Potion2	Potion2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Mushroom	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	MagicScrolls	MagicScrolls	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	SoulCrystal2	SoulCrystal2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	EvilHoney	EvilHoney	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Mushroom2	Mushroom2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration
2		1		4	0	Wood	0	A	  12	1	5	0		5	2																																																																																																																																																																																																	
2		2		5	2	Wood	0	A	  15	1	5	0																																																																																																																																																																																																				
2		3		6	2	Wood	0	A	  18	1	5	0																																																																																																																																																																																																				
2		4		7	3	Wood	0	A	  21	1	5	0																																																																																																																																																																																																				
2		5		8	3	Wood	0	A	  24	1	5	0																																																																																																																																																																																																				
2		6		9	4	Wood	0	A	  27	1	5	0																																																																																																																																																																																																				
2		7		10	5	Wood	0	A	  30	1	5	0																																																																																																																																																																																																				
2		8		11	6	Wood	0	A	  33	1	5	0																																																																																																																																																																																																				
2		9		12	7	Wood	0	A	  36	1	5	0																																																																																																																																																																																																				
2		10		13	9	Wood	0	A	  39	1	5	0																																																																																																																																																																																																				
2		11	2	26	10	Wood	0	A	  78	1	5	0																																																																																																																																																																																																				
2		12	1	27	12	Wood	0	A	  81	1	5	0																																																																																																																																																																																																				
2		13	1	28	15	Wood	0	A	  84	1	5	0																																																																																																																																																																																																				
2		14	1	29	18	Wood	0	A	  87	1	5	0																																																																																																																																																																																																				
2		15	1	32	21	Wood	0	A	  95	1	5	0																																																																																																																																																																																																				
2		16	1	34	26	Wood	0	A	  103	1	5	0																																																																																																																																																																																																				
2		17	1	38	31	Wood	0	A	  113	1	5	0																																																																																																																																																																																																				
2		18	1	41	37	Wood	0	A	  123	1	5	0																																																																																																																																																																																																				
2		19	1	45	44	Wood	0	A	  134	1	5	0																																																																																																																																																																																																				
2		20	1	49	53	Wood	0	A	  146	1	5	0																																																																																																																																																																																																				
2		21	1	53	64	Wood	0	A	  159	1	5	0																																																																																																																																																																																																				
2		22	1	58	77	Wood	0	A	  173	1	5	0																																																																																																																																																																																																				
2		23	1	63	92	Wood	0	A	  189	1	5	0																																																																																																																																																																																																				
2		24	1	69	110	Wood	0	A	  206	1	5	0																																																																																																																																																																																																				
2		25	1	75	132	Wood	0	A	  224	1	5	0																																																																																																																																																																																																				
2		26	2	163	159	Wood	0	A	  489	1	5	0																																																																																																																																																																																																				
2		27	1	178	191	Wood	0	A	  533	1	5	0																																																																																																																																																																																																				
2		28	1	194	229	Wood	0	A	  581	1	5	0																																																																																																																																																																																																				
2		29	1	211	275	Wood	0	A	  634	1	5	0																																																																																																																																																																																																				
2		30	1	230	330	Wood	0	A	  691	1	5	0																																																																																																																																																																																																				
2		31	1	251	396	Wood	0	A	  753	1	5	0					1	1	1	0	Stone	55	A	3	2	14	0		7	2							55								2							55							7								60							5								65							7									70							7							75							7								80							7							85							7								90							7								95							7								100							7								105							7
2		32	1	274	475	Wood	0	A	  821	1	5	0					2	1	2	4	Stone	55	A	6	1	7	0	TYCOON	1																																																																																																																																																																																			
2		33	1	298	570	Wood	0	A	  895	1	5	0					3	1	3	4	Stone	55	A	9	1	7	0	MERGE	0																																																																																																																																																																																			
2		34	1	325	684	Wood	0	A	  975	1	5	0					4	1	4	5	Stone	55	A	12	1	7	0																																																																																																																																																																																					
2		35	1	354	820	Wood	0	A	 1 063	1	5	0					5	1	5	6	Stone	55	A	15	1	7	0																																																																																																																																																																																					
2		36	1	386	984	Wood	20	A	 1 159	2	10	0					6	1	6	7	Stone	55	A	18	1	7	0																																																																																																																																																																																					
2		37	1	421	1181	Wood	20	A	 1 263	2	10	0					7	1	7	9	Stone	55	A	21	1	7	0																																																																																																																																																																																					
2		38	1	459	1418	Wood	20	A	 1 377	2	10	0					8	1	8	11	Stone	55	A	24	1	7	0																																																																																																																																																																																					
2		39	1	500	1701	Wood	20	A	 1 500	2	10	0					9	1	9	13	Stone	55	A	27	1	7	0																																																																																																																																																																																					
2		40	1	545	2041	Wood	20	A	 1 635	2	10	0					10	1	10	15	Stone	55	A	30	1	7	0																																																																																																																																																																																					
2		41	1	594	2450	Wood	20	A	 1 783	2	10	0					11	2	22	19	Stone	55	A	65	1	7	0																																																																																																																																																																																					
2		42	1	648	2940	Wood	20	A	 1 943	2	10	0					12	1	24	22	Stone	55	A	71	1	7	0																																																																																																																																																																																					
2		43	1	706	3527	Wood	20	A	 2 118	2	10	0					13	1	26	27	Stone	55	A	78	1	7	0																																																																																																																																																																																					
2		44	1	770	4233	Wood	20	A	 2 309	3	15	0					14	1	28	32	Stone	55	A	85	1	7	0																																																																																																																																																																																					
2		45	1	839	5080	Wood	20	A	 2 516	3	15	0					15	1	31	39	Stone	55	A	92	1	7	0																																																																																																																																																																																					
2		46	1	914	6095	Wood	30	A	 2 743	3	15	0					16	1	34	46	Stone	55	A	101	1	7	0																																																																																																																																																																																					
2		47	1	997	7315	Wood	30	A	 2 990	3	15	0					17	1	37	55	Stone	55	A	110	1	7	0																																																																																																																																																																																					
2		48	1	1086	8777	Wood	30	A	 3 259	4	20	0					18	1	40	67	Stone	55	A	120	1	7	0																																																																																																																																																																																					
2		49	1	1184	10533	Wood	30	A	 3 552	4	20	0					19	1	43	80	Stone	55	A	130	1	7	0																																																																																																																																																																																					
2		50	1	1291	12639	Wood	30	A	 3 872	4	20	0					20	1	47	96	Stone	55	A	142	1	7	0																																																																																																																																																																																					
3		51	2	2813	15167	Wood	30	A	 8 440	3	15	0					21	1	52	115	Stone	55	A	155	1	7	0																																																																																																																																																																																					
3		52	1	3067	18201	Wood	30	A	 9 200	3	15	0					22	1	56	138	Stone	55	A	169	1	7	0																																																																																																																																																																																					
3		53	1	3343	21841	Wood	30	A	 10 028	3	15	0					23	1	61	166	Stone	55	A	184	2	14	0																																																																																																																																																																																					
3		54	1	3643	26209	Wood	30	A	 10 930	3	15	0					24	1	67	199	Stone	55	A	201	2	14	0																																																																																																																																																																																					
3		55	1	3971	31451	Wood	30	A	 11 914	4	20	0					25	1	73	238	Stone	55	A	219	2	14	0																																																																																																																																																																																					
3		56	1	4329	37741	Wood	30	A	 12 987	4	20	0					26	1	79	286	Stone	55	A	238	2	14	0																																																																																																																																																																																					
3		57	1	4718	45290	Wood	30	A	 14 155	4	20	0					27	1	87	343	Stone	55	A	260	2	14	0																																																																																																																																																																																					
3		58	1	5143	54348	Wood	30	A	 15 429	5	25	0					28	1	94	412	Stone	55	A	283	2	14	0																																																																																																																																																																																					
3		59	1	5606	65217	Wood	30	A	 16 818	5	25	0					29	1	103	495	Stone	55	A	308	2	14	0																																																																																																																																																																																					
3		60	1	6111	78260	Wood	30	A	 18 332	6	30	1					30	2	224	593	Stone	55	A	673	2	14	0																																																																																																																																																																																					
3		61	1	6660	93913	Wood	30	A	 19 981	6	30	1					31	1	244	712	Stone	55	A	733	2	14	0					1	1	1	0	Potion	55	A	3	2	0	0		7																																																																																																																																																																				
3		62	1	7260	112695	Wood	30	A	 21 780	7	35	1					32	1	266	855	Stone	55	A	799	2	14	0					2	1	2	4	Potion	55	A	6	1	0	0	TYCOON	1																																																																																																																																																																				
3		63	1	7913	135234	Wood	30	A	 23 740	7	35	1					33	1	290	1025	Stone	55	A	871	2	14	0					3	1	3	4	Potion	55	A	9	1	0	0	MERGE	0																																																																																																																																																																				
3		64	1	8625	162281	Wood	30	A	 25 876	8	40	1					34	1	316	1231	Stone	55	A	949	2	14	0					4	1	4	5	Potion	55	A	12	1	0	0																																																																																																																																																																						
3		65	1	9402	194737	Wood	30	A	 28 205	9	45	1					35	1	345	1477	Stone	55	A	1035	2	14	0					5	1	5	6	Potion	55	A	15	1	0	0																																																																																																																																																																						
3		66	1	10248	233684	Wood	30	A	 30 744	10	50	1					36	1	376	1772	Stone	55	A	1128	2	14	0					6	1	6	7	Potion	55	A	18	1	0	0																																																																																																																																																																						
3		67	1	11170	280421	Wood	30	A	 33 511	11	55	1					37	1	410	2126	Stone	55	A	1229	3	21	0					7	1	7	9	Potion	55	A	21	1	0	0																																																																																																																																																																						
3		68	1	12176	336506	Wood	30	A	 36 527	12	60	1					38	1	447	2552	Stone	55	A	1340	3	21	0					8	1	8	11	Potion	55	A	24	1	0	0																																																																																																																																																																						
3		69	1	13271	403807	Wood	30	A	 39 814	1	5	0					39	1	487	3062	Stone	55	A	1461	3	21	0					9	1	9	13	Potion	55	A	27	1	0	0																																																																																																																																																																						
3		70	1	14466	5053	Stone	30	A	 43 397	1	5	0					40	1	531	3674	Stone	65	A	1592	3	21	0					10	1	10	15	Potion	65	A	30	1	0	0																																																																																																																																																																						
3		71	1	15768	5659	Stone	30	A	 47 303	1	5	0					41	1	578	4409	Stone	65	A	1735	4	28	0					11	2	22	19	Potion	65	A	65	1	0	0																																																																																																																																																																						
3		72	1	17187	6338	Stone	30	A	 51 560	1	5	0					42	1	631	5291	Stone	65	A	1892	4	28	0					12	1	24	22	Potion	65	A	71	1	0	0																																																																																																																																																																						
3		73	1	18734	7099	Stone	30	A	 56 201	1	5	0					43	1	687	6349	Stone	65	A	2062	4	28	0					13	1	26	27	Potion	65	A	78	1	0	0																																																																																																																																																																						
3		74	1	20420	7951	Stone	30	A	 61 259	1	5	0					44	1	749	7619	Stone	65	A	2247	5	35	1					14	1	28	32	Potion	65	A	85	1	0	0																																																																																																																																																																						
3		75	1	22257	8905	Stone	30	A	 66 772	1	5	0					45	1	817	9143	Stone	65	A	2450	5	35	1					15	1	31	39	Potion	65	A	92	1	0	0																																																																																																																																																																						
3		76	1	24261	9973	Stone	45	A	 72 782	1	5	0					46	1	890	10972	Stone	65	A	2670	5	35	1					16	1	34	46	Potion	65	A	101	1	0	0																																																																																																																																																																						
3		77	1	26444	11170	Stone	45	A	 79 332	1	5	0					47	1	970	13166	Stone	65	A	2910	6	42	1					17	1	37	55	Potion	65	A	110	1	0	0																																																																																																																																																																						
3		78	1	28824	12510	Stone	45	A	 86 472	1	5	0					48	1	1057	15799	Stone	65	A	3172	6	42	1					18	1	40	67	Potion	65	A	120	1	0	0																																																																																																																																																																						
3		79	1	31418	14012	Stone	45	A	 94 254	1	5	0					49	1	1153	18959	Stone	65	A	3458	7	49	1					19	1	43	80	Potion	65	A	130	1	0	0																																																																																																																																																																						
3		80	1	34246	15693	Stone	45	A	 102 737	1	5	0					50	1	1256	22751	Stone	65	A	3769	8	56	1					20	1	47	96	Potion	65	A	142	1	0	0																																																																																																																																																																						
4		81	2	74656	17576	Stone	45	A	 223 967	1	5	0					51	2	2739	27301	Stone	65	A	8217	4	28	0					21	1	52	115	Potion	65	A	155	1	0	0																																																																																																																																																																						
4		82	1	81375	19685	Stone	45	A	 244 124	1	5	0					52	1	2985	32762	Stone	65	A	8956	5	35	1					22	1	56	138	Potion	65	A	169	1	0	0																																																																																																																																																																						
4		83	1	88699	22048	Stone	45	A	 266 096	1	5	0					53	1	3254	39314	Stone	65	A	9762	5	35	1					23	1	61	166	Potion	65	A	184	2	0	0																																																																																																																																																																						
4		84	1	96681	24693	Stone	45	A	 290 044	1	5	0					54	1	3547	47177	Stone	65	A	10641	6	42	1					24	1	67	199	Potion	65	A	201	2	0	0																																																																																																																																																																						
