 	Schedule			Root																								Units		Lobby													Entrance										IdolIsland	Idol			BattleIsland	BattleModule				Craft1				Craft2				Craft3				Craft4				PiggyBank			Chapel										Altar																WoodIsland	WoodMill																						StoneIsland	StoneMine																							PotionIsland	PotionLab																							LibraryIsland	Library																							WoodIslandTier2	WoodMillTier2																								CemeteryIsland	Cemetery																							StoneIslandTier2	StoneMineTier2																								ApiaryIsland	Apiary																							PotionIslandTier2	PotionLabTier2																								MushroomsIsland	MushroomsFarm																							LibraryIslandTier2	LibraryTier2																								CemeteryIslandTier2	CemeteryTier2																								ApiaryIslandTier2	ApiaryTier2																								MushroomsIslandTier2	MushroomsFarmTier2																								Merge1Island	Merge1											UnknownIsland1		UnknownIsland2		Merge	BattleFactory											BigCraft			
																																	LevelMax	FollowerCapacity			FollowCount			FollowPeriod						LevelMax	AdeptCapacity					UsageDuration																																UsageDuration	Production	AssignCapacity								LevelMax								UsageDuration	Production			SacrificeCapacity					LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production											LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production											LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production											LevelMax								AssignCapacity					UsageDuration	Production										LevelMax								AssignCapacity					UsageDuration	Production											LevelMax								AssignCapacity					UsageDuration	Production											LevelMax								AssignCapacity					UsageDuration	Production											LevelMax								AssignCapacity					UsageDuration	Production											Production						SummonCost					Spider					UsageDuration					Production	AssignCapacity				
																												Initial		Grade					Grade			Grade			Grade		Grade					Grade					Require	Grade			Require	Open	Grade			Open	Grade			Open	Grade			Open	Grade			Open	Grade			Grade			Grade				Soft		Grade				Grade				Grade								Soft	Grade			Require	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade				Grade								Grade					Tycoon	Consumption	Grade				Require	Open	Grade			Merge						Soft	Require	Open	Require	Open	ResourcePeriod	Open	Grade				Grade				Tycoon		Open	Grade		
	TimeFlow	Rate	Weight	Faith	Spirit	Matter	Wood	Stone	Potion	Book	SoulCrystal	Wax	Mushroom	A	B	C	D	MergeRune1	MergeRune2	Board	BonesBlock	Potion2	MagicScrolls	SoulCrystal2	EvilHoney	Mushroom2	Lamp	Groups	Count	TycoonPrice	.Currency	Duration			TycoonPrice	.Currency		TycoonPrice	.Currency		TycoonPrice	.Currency	TycoonPrice	.Currency	Duration			TycoonPrice	.Currency	CraftPrice	.Currency		QuestLevel	TycoonPrice	.Currency	Duration	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration	OnChapter	TycoonPrice	.Currency	Duration	OnChapter	TycoonPrice	.Currency	Duration	OnChapter	TycoonPrice	.Currency	Duration	OnChapter	TycoonPrice	.Currency	Duration	TycoonPrice	.Currency	Duration	TycoonPrice	.Currency	Duration		Faith		TycoonPrice	.Currency	CraftPrice	.Currency	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		Matter	TycoonPrice	.Currency		QuestLevel	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Wood	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Stone	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Potion	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Book	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Board	Wood	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		SoulCrystal	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		BonesBlock	Stone	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Wax	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Potion2	Potion	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Mushroom	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		MagicScrolls	Book	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		SoulCrystal2	SoulCrystal	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		EvilHoney	Wax	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	CraftPrice	.Currency	MergePrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency		Mushroom2	Mushroom	TycoonPrice	.Currency	MergePrice	.Currency	QuestLevel	OnChapter	TycoonPrice	.Currency	Duration	A	B	C	D	MergeRune1	MergeRune2	Matter	QuestLevel	OnChapter	QuestLevel	OnChapter		OnChapter	TycoonPrice	.Currency	Duration		TycoonPrice	.Currency	MergePrice	.Currency	Lamp		OnChapter	TycoonPrice	.Currency	Duration
1	0.00833	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Adept	0	0	Free	3	1	5	0	Wood	5	0	Wood	7200.0	0	Wood	0	Free	5	29	2	0	Wood	0	CraftItem1	7	1		Free	15	6	6		Free	15	9999	50000	Wood	15	9999	50000	Potion	60	9999	10000	Wax	120	9999		Free	180	0	Free	15	0	Free	10	15	0.006250000	1	0	Wood	0	CraftItem1	2000	Wood	20	28								10	1	0	Wood	1	1	0	Free	5	10	0	Wood	0	CraftItem1	0	A	0	3	0	Wood	0	A	5	4	0	Wood	0	A	3	3	25000	Wood	60	10	0	Stone	0	CraftItem1	0	A	0	3	0	Wood	0	A	7	1	0	Stone	55	A	4	4	15000	Stone	60	10	0	Potion	0	CraftItem1	0	A	0	3	0	Wood	0	A	7	1	0	Potion	55	A	5	5	20000	Potion	60	10	0	Book	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	0	Book	55	A	7	7	50000	Book	60	10	0	Board	0	CraftItem1	0	A	0	3	0	Wood	0	A	5	1	100	0	Board	62	A	8	8	5000	Board	60	10	0	SoulCrystal	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	0	SoulCrystal	98	A	9	9	7000	SoulCrystal	60	10	0	BonesBlock	0	CraftItem1	0	A	0	3	0	Wood	0	A	7	1	100	0	BonesBlock	121	A	10	10	5000	BonesBlock	60	10	0	Wax	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	0	Wax	143	A	11	11	5000	Wax	60	10	0	Potion2	0	CraftItem1	0	A	0	3	0	Wood	0	A	7	1	100	0	Potion2	228	A	12	12	5000	Potion2	60	10	0	Mushroom	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	0	Mushroom	263	A	13	13	7000	Mushroom	60	10	0	MagicScrolls	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	100	0	MagicScrolls	368	A	14	14	5000	MagicScrolls	60	10	0	SoulCrystal2	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	100	0	SoulCrystal2	367	A	15	15	5000	SoulCrystal2	60	10	0	EvilHoney	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	100	0	EvilHoney	474	A	16	16	5000	EvilHoney	60	10	0	Mushroom2	0	CraftItem1	0	A	0	3	0	Stone	0	A	7	1	100	0	Mushroom2	491	A	2	2	1000	Wood	15	1	1	1	1	1	1	1	17	17	18	18	100.00000	6	5000	Book	30	90.0	0	Book	0	A	1.000000000	3	99	0	Free	15
2																																															3	10	Wood	0	CraftItem1																																			2	100	Wood	0	CraftItem1													2	30000	Wood						25	30	Wood	0	CraftItem1	0	A	10							5	2	Wood	0	A						30	90	Stone	0	CraftItem1	100	A	60							2	4	Stone	55	A						25	90	Potion	0	CraftItem1	100	A	1800							2	4	Potion	55	A						25	90	Book	0	CraftItem1	100	A	1800							2	4	Book	65	A						25	90	Board	0	CraftItem1	112	A	3800							2	200	4	Board	90	A						25	90	SoulCrystal	0	CraftItem1	178	A	3800							2	4	SoulCrystal	169	A						25	90	BonesBlock	0	CraftItem1	219	A	3800							2	200	4	BonesBlock	219	A						25	90	Wax	0	CraftItem1	260	A	3800							2	4	Wax	325	A						25	90	Potion2	0	CraftItem1	414	A	3800							2	200	4	Potion2	539	A						25	90	Mushroom	0	CraftItem1	478	A	3800							2	4	Mushroom	692	A						25	90	MagicScrolls	0	CraftItem1	670	A	3800							2	200	4	MagicScrolls	1004	A						25	90	SoulCrystal2	0	CraftItem1	667	A	3800							2	200	4	SoulCrystal2	1100	A						25	90	EvilHoney	0	CraftItem1	862	A	3800							2	200	4	EvilHoney	1551	A						25	90	Mushroom2	0	CraftItem1	893	A	3800							2	200	4	Mushroom2	1741	A																	76.92308					81.8	500	Book	100	A						
3																																															4	30000	Wood	0	CraftItem1																																			3	30000	Wood	0	CraftItem1													3	10000	Stone						50	650	Wood	0	CraftItem1	0	A	10							6	2	Wood	0	A						50	3000	Stone	0	CraftItem1	200	A	1800							3	4	Stone	55	A						50	3000	Potion	0	CraftItem1	200	A	3600							3	4	Potion	55	A						50	3000	Book	0	CraftItem1	182	A	3600							3	4	Book	65	A						50	3000	Board	0	CraftItem1	356	A	3900							3	300	4	Board	90	A						50	3000	SoulCrystal	0	CraftItem1	439	A	3900							3	4	SoulCrystal	169	A						50	3000	BonesBlock	0	CraftItem1	520	A	3900							3	300	4	BonesBlock	219	A						50	3000	Wax	0	CraftItem1	829	A	3900							3	4	Wax	325	A						50	3000	Potion2	0	CraftItem1	955	A	3900							3	300	4	Potion2	539	A						50	3000	Mushroom	0	CraftItem1	955	A	3900							3	4	Mushroom	692	A						50	3000	MagicScrolls	0	CraftItem1	1339	A	3900							3	300	4	MagicScrolls	1004	A						50	3000	SoulCrystal2	0	CraftItem1	1333	A	3900							3	300	4	SoulCrystal2	1100	A						50	3000	EvilHoney	0	CraftItem1	1723	A	3900							3	300	4	EvilHoney	1551	A						50	3000	Mushroom2	0	CraftItem1	1786	A	3900							3	300	4	Mushroom2	1741	A																	59.17160					75.0	1000	Book	100	A						
4																																															5	10000	Stone	0	CraftItem1																																			4	10000	Stone	0	CraftItem1													4	150000	Stone						80	30000	Wood	0	CraftItem1	100	A	1800							7	3	Wood	0	A						80	30000	Stone	0	CraftItem1	300	A	3600							4	5	Stone	55	A						80	30000	Potion	0	CraftItem1	272	A	5400							4	5	Potion	55	A						80	30000	Book	0	CraftItem1	336	A	5400							4	5	Book	65	A						80	30000	Board	0	CraftItem1	658	A	4000							4	400	5	Board	90	A						80	30000	SoulCrystal	0	CraftItem1	779	A	4000							4	5	SoulCrystal	169	A						80	30000	BonesBlock	0	CraftItem1	1243	A	4000							4	400	5	BonesBlock	219	A						80	30000	Wax	0	CraftItem1	1433	A	4000							4	5	Wax	325	A						80	30000	Potion2	0	CraftItem1	2009	A	4000							4	400	5	Potion2	539	A						80	30000	Mushroom	0	CraftItem1	2009	A	4000							4	5	Mushroom	692	A						80	30000	MagicScrolls	0	CraftItem1	2009	A	4000							4	400	5	MagicScrolls	1004	A						80	30000	SoulCrystal2	0	CraftItem1	2000	A	4000							4	400	5	SoulCrystal2	1100	A						80	30000	EvilHoney	0	CraftItem1	2585	A	4000							4	400	5	EvilHoney	1551	A						80	30000	Mushroom2	0	CraftItem1	2679	A	4000							4	400	5	Mushroom2	1741	A																	45.51661					69.2	10000	Book	100	A						
5																																															6	150000	Stone	0	CraftItem2																																			5	5000	Book	0	CraftItem2													5	1000	Potion						110	1200000	Wood	0	CraftItem1	182	A	3600							8	3	Wood	0	A						110	857000	Stone	0	CraftItem1	363	A	5400							5	6	Stone	55	A						110	857270	Potion	0	CraftItem1	448	A	7200							5	6	Potion	55	A						110	857270	Book	0	CraftItem1	712	A	7200							5	6	Book	65	A						110	857270	Board	0	CraftItem1	1039	A	4500							5	500	6	Board	90	A						110	857270	SoulCrystal	0	CraftItem1	1658	A	4500							5	6	SoulCrystal	169	A						110	857270	BonesBlock	0	CraftItem1	1910	A	4500							5	500	6	BonesBlock	219	A						110	857270	Wax	0	CraftItem1	2678	A	4500							5	6	Wax	325	A						110	857270	Potion2	0	CraftItem1	2667	A	4500							5	500	6	Potion2	539	A						110	857270	Mushroom	0	CraftItem1	2667	A	4500							5	6	Mushroom	692	A						110	857270	MagicScrolls	0	CraftItem1	2667	A	4500							5	500	6	MagicScrolls	1004	A						110	857270	SoulCrystal2	0	CraftItem1	2667	A	4500							5	500	6	SoulCrystal2	1100	A						110	857270	EvilHoney	0	CraftItem1	3447	A	4500							5	500	6	EvilHoney	1551	A						110	857270	Mushroom2	0	CraftItem1	3572	A	4500							5	500	6	Mushroom2	1741	A																	35.01278					64.3	30000	Book	100	A						
6																																															7	1000	Potion	0	CraftItem2																																			6	5000	Board	0	CraftItem2													6	150000	Potion						140	31850000	Wood	0	CraftItem1	336	A	5400							9	4	Wood	0	A						140	22750000	Stone	0	CraftItem1	560	A	7200							6	7	Stone	55	A						140	22748100	Potion	0	CraftItem1	890	A	9000							6	7	Potion	55	A						140	22748100	Book	0	CraftItem1	1097	A	9000							6	7	Book	65	A						140	22748100	Board	0	CraftItem1	2072	A	5000							6	600	7	Board	90	A						140	22748100	SoulCrystal	0	CraftItem1	2388	A	5000							6	7	SoulCrystal	169	A						140	22748100	BonesBlock	0	CraftItem1	3348	A	5000							6	600	7	BonesBlock	219	A						140	22748100	Wax	0	CraftItem1	3334	A	5000							6	7	Wax	325	A						140	22748100	Potion2	0	CraftItem1	4309	A	5000							6	600	7	Potion2	539	A						140	22748100	Mushroom	0	CraftItem1	4309	A	5000							6	7	Mushroom	692	A						140	22748100	MagicScrolls	0	CraftItem1	4309	A	5000							6	600	7	MagicScrolls	1004	A						140	22748100	SoulCrystal2	0	CraftItem1	4309	A	5000							6	600	7	SoulCrystal2	1100	A						140	22748100	EvilHoney	0	CraftItem1	4309	A	5000							6	600	7	EvilHoney	1551	A						140	22748100	Mushroom2	0	CraftItem1	4465	A	5000							6	600	7	Mushroom2	1741	A																	26.93291					60.0	50000	Book	100	A						
